lon,lat,time,elevation,som,moisture,temp,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
142.1290677,-36.74536724,1/04/2022,132.6,2.68,26.25,25.53,1116,1476,1938,2122,2171,2301,2586,2575,4122,2916
142.1290901,-36.74535884,1/04/2022,132.6,2.785,25.25,25.1,1116,1476,1938,2122,2171,2301,2586,2575,4122,2916
142.1291123,-36.74535034,1/04/2022,132.6,2.775,23.93,25.01,1116,1476,1938,2122,2171,2301,2586,2575,4122,2916
142.1291356,-36.74534374,1/04/2022,132.5,2.825,22.23,24.49,1106,1406,1952,2209,2274,2425,2576,2671,4188,2931
142.1291568,-36.74533334,1/04/2022,132.5,2.815,23.6,24.14,1106,1406,1952,2209,2274,2425,2576,2671,4188,2931
142.1291802,-36.74532674,1/04/2022,132.5,2.79,23.52,24.29,1106,1406,1952,2209,2274,2425,2576,2671,4188,2931
142.1292025,-36.74531824,1/04/2022,132.5,2.735,23.82,24.36,1106,1406,1952,2209,2274,2425,2576,2671,4188,2931
142.1292237,-36.74530784,1/04/2022,132.4,2.685,24.0,24.63,1106,1406,1952,2209,2274,2425,2576,2671,4188,2931
142.129246,-36.74529934,1/04/2022,132.4,2.74,21.73,24.26,1050,1394,1912,2209,2274,2425,2522,2671,4188,2931
142.1292684,-36.74529084,1/04/2022,132.4,2.81,21.23,24.11,1050,1394,1912,2209,2274,2425,2522,2671,4188,2931
142.1292907,-36.74528234,1/04/2022,132.4,2.8,21.77,23.72,1050,1394,1912,2209,2274,2425,2522,2671,4188,2931
142.1293141,-36.74527584,1/04/2022,132.3,2.79,22.0,23.58,1050,1394,1912,2209,2274,2425,2522,2671,4188,2931
142.1293354,-36.74526534,1/04/2022,132.3,2.825,22.4,23.56,1144,1478,1990,2209,2274,2425,2630,2671,4188,2931
142.1293587,-36.74525874,1/04/2022,132.3,2.795,22.35,23.38,1152,1470,1986,2152,2218,2373,2618,2624,4162,2920
