lat,lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
5934015.0,600855.0,384,576,661,1226,1744,1936,1866,2180,2202,1574
5934015.0,600865.0,602,904,1052,1348,1586,1730,2194,1908,2313,1658
5934015.0,600875.0,792,1018,1230,1348,1586,1730,2064,1908,2313,1658
5934015.0,600885.0,684,928,1100,1312,1644,1778,1770,1977,2647,1885
5934015.0,600895.0,634,786,948,1312,1644,1778,1514,1977,2647,1885
5934015.0,600905.0,612,846,963,1404,1774,1881,1858,2052,3042,2113
5934015.0,600915.0,690,920,1064,1404,1774,1881,2092,2052,3042,2113
5934015.0,600925.0,754,955,1154,1518,1851,1990,2120,2213,3361,2386
5934015.0,600935.0,690,942,1170,1518,1851,1990,1996,2213,3361,2386
5934015.0,600945.0,728,979,1220,1654,1833,2009,1942,2213,3614,2584
5934015.0,600955.0,847,1032,1376,1654,1833,2009,2120,2213,3614,2584
5934015.0,600965.0,890,1146,1548,1895,2074,2179,2222,2396,3807,2714
5934015.0,600975.0,943,1264,1678,1895,2074,2179,2500,2396,3807,2714
5934015.0,600985.0,1034,1312,1774,2062,2208,2367,2592,2672,3770,2665
5934015.0,600995.0,1009,1290,1682,2062,2208,2367,2652,2672,3770,2665
5934015.0,601005.0,943,1180,1426,1581,1951,2138,2404,2269,3000,2101
5934015.0,601015.0,872,1060,1192,1581,1951,2138,2008,2269,3000,2101
5934015.0,601025.0,676,846,952,1309,2041,2141,2458,2467,2713,1862
5934015.0,601035.0,570,769,954,1309,2041,2141,2110,2467,2713,1862
5934015.0,601045.0,451,585,740,1602,2007,2163,1738,2583,3287,2277
5934015.0,601055.0,607,918,1208,1602,2007,2163,2584,2583,3287,2277
5934015.0,601065.0,886,1236,1650,2305,2594,2782,2874,3183,4166,3210
5934015.0,601075.0,1116,1544,2106,2305,2594,2782,3120,3183,4166,3210
5934015.0,601085.0,1032,1378,1890,2103,2279,2446,2778,2745,4194,3198
5934015.0,601095.0,853,1140,1504,2103,2279,2446,2308,2745,4194,3198
5934015.0,601105.0,976,1196,1596,1777,1977,2094,2300,2403,4099,2912
5934015.0,601115.0,914,1154,1576,1777,1977,2094,2260,2403,4099,2912
5934015.0,601125.0,845,1078,1442,1704,1823,1927,2132,2225,4099,2851
5934015.0,601135.0,848,1078,1496,1704,1823,1927,2078,2225,4099,2851
5934015.0,601145.0,792,1072,1484,1651,1736,1897,2062,2167,4036,2833
5934015.0,601155.0,778,1048,1462,1651,1736,1897,2030,2167,4036,2833
5934015.0,601165.0,820,1056,1448,1629,1732,1869,2038,2141,4000,2779
5934015.0,601175.0,820,1042,1426,1629,1732,1869,2046,2141,4000,2779
5934015.0,601185.0,817,1040,1438,1654,1754,1880,2016,2158,4020,2799
5934015.0,601195.0,812,1038,1412,1654,1754,1880,2026,2158,4020,2799
5934015.0,601205.0,792,1018,1428,1605,1719,1835,2008,2124,4033,2797
5934015.0,601215.0,780,999,1394,1605,1719,1835,1956,2124,4033,2797
5934015.0,601225.0,769,985,1368,1574,1664,1805,1926,2064,3958,2762
5934015.0,601235.0,759,973,1360,1574,1664,1805,1908,2064,3958,2762
5934015.0,601245.0,738,976,1362,1569,1654,1796,1938,2095,3952,2752
5934015.0,601255.0,769,971,1382,1569,1654,1796,1948,2095,3952,2752
5934015.0,601265.0,788,1026,1396,1602,1709,1840,1976,2099,3980,2757
5934015.0,601275.0,791,992,1404,1602,1709,1840,1950,2099,3980,2757
5934015.0,601285.0,768,992,1360,1587,1700,1839,1972,2098,3976,2750
5934015.0,601295.0,736,966,1350,1587,1700,1839,1946,2098,3976,2750
5934015.0,601305.0,749,974,1340,1564,1676,1796,1900,2099,3949,2751
5934015.0,601315.0,792,990,1372,1564,1676,1796,1924,2099,3949,2751
5934015.0,601325.0,786,993,1378,1609,1673,1831,1910,2106,3992,2758
5934015.0,601335.0,775,1015,1400,1609,1673,1831,1972,2106,3992,2758
5934015.0,601345.0,808,1044,1450,1666,1728,1889,2014,2141,4054,2797
5934015.0,601355.0,836,1082,1486,1666,1728,1889,2094,2141,4054,2797
5934015.0,601365.0,856,1046,1492,1701,1797,1911,2032,2163,4071,2812
